1824,"Books and reading, fiction"
1825,Art de conter
1826,World war ii
1827,Gestapo
1828,Judaism
1829,Nazi
1830,Nazi germany
1831,Muerte
1832,Judíos
1833,Nyt:paperback_books=2007-09-09
1834,Jews rescue
1835,German history
1836,Books
1837,Reading
1838,Guerra mundial ii
1839,Mothers
1840,Family problems
1841,Death (personification)
1842,Germany
1843,Mechanical Hound
1844,girl next door
1845,Terrorismo estatal
1846,Censura
1847,political fiction
1848,satire
1849,State-sponsored terrorism
1850,Book burning
1851,Censorship
1852,American Science fiction
1853,award:retro_hugo
1854,Terrorismo
1855,Totalitarianisms
1856,Bücherverbrennung
1857,Terrorisme d'État
1858,Autodafé de livres
1859,Education
1860,Language arts
1861,"Fiction, horror"
1862,"Science fiction, american"
1863,Book burning--fiction
1864,Censorship--fiction
1865,State-sponsored terrorism--fiction
1866,Ps3503.r167 f3 2012
1867,Child authors
1868,"Starr, emily byrd (fictitious character), fiction"
1869,"Canada, fiction"
1870,Humorous poetry
1871,American Humorous poetry
1872,Children's poetry
1873,American poetry
1874,"Children's poetry, American"
1875,Humorous poetry.
1876,Poesía infantil
1877,Poesía infantil estadounidense
1878,Poesía humorística
1879,Humorous Stories
1880,Poetry
1881,Wit and humor
1882,Demonology
1883,Horror stories
1884,Horror tales
1885,Paranormal fiction
1886,Dark Fantasy
1887,Horror fiction
1888,"Supernatural, fiction"
1889,"Demonology, fiction"
1890,nyt:series_books=2010-07-10
1891,The Mortal Instruments Series
1892,magic
1893,Shadowhunters
1894,demons
1895,Hunters
1896,Monsters
1897,Demonología
1898,Sobrenatural
1899,Cuentos de terror
1900,Clary Fray (Fictitious character)
1901,Simon Lewis (Fictitious character)
1902,Démonologie
1903,Roman occulte
1904,Novela de misterio
1905,Hombres lobo
1906,Novela de terror
1907,Vampires in fiction
1908,Interpersonal relations in fiction
1909,Werewolves in fiction
1910,High schools in fiction
1911,"Werewolves, fiction"
1912,vampire
1913,Translations into French
1914,"Romans, ouvrages, etc. pour la jeunesse"
1915,Vietnamese fiction
1916,Liebe
1917,Vampiers
1918,Verliefdheid
1919,Jeugdboeken ; verhalen
1920,violence
1921,humans
1922,fighting
1923,Mythical Creatures
1924,Youths' writings
1925,nyt:series-books=2008-10-05
1926,Heather's Pick
1927,nyt:series_books=2011-06-11
1928,Fiction - Science Fiction
1929,Fiction - Fantasy
1930,Spanish: Grades 3-4
1931,Fantasy - General
1932,Fairy Tales & Folklore - General
1933,Fairy Tales & Folklore - Single Title
1934,"Dragons, fiction"
1935,Dragones
1936,Fantasmes
1937,Juvenile Fantasy
1938,Phantastische Erzählung
1939,Écrits de jeunes
1940,Flucht
1941,Bedrohung
1942,Drache
1943,Erwachsenwerden
1944,comic science fiction
1945,Vogons
1946,Humorous fiction
1947,Imaginary voyages
1948,wit and humour
1949,Interstellar travel
1950,Interplanetary voyages
1951,Life on other planets
1952,Ford Prefect (Fictitious character)
1953,Arthur Dent (Fictitious character)
1954,Humorous stories
1955,Viajes interplanetarios
1956,Language readers
1957,Radio plays
1958,"Fiction, humorous"
1959,"Dent, arthur (fictitious character), fiction"
1960,"Prefect, ford (fictitious character), fiction"
1961,"Fiction, science fiction, action & adventure"
1962,Christian life
1963,Indians of North America
1964,"Fiction, humorous, general"
1965,New age movement
1966,Humorous
1967,Action & adventure
1968,Space opera
1969,English & college success -> english -> fiction
1970,English & college success -> english -> humor
1971,Fiction in English
1972,Utopias
1973,Moral and ethical aspects of Science
